T,abs_psi,is_zero
14.134725,7.07053018948226,True
21.02204,4.755687186431985,True
25.010858,3.9975656222064146,True
30.424876,3.286423984684007,True
32.935062,3.03600491395278,True
37.586178,2.660384907074764,True
40.918719,2.4437496211588647,True
43.327073,2.3079319601974606,True
48.00515,2.0830508035434074,True
49.773832,2.00903810705769,True
52.970321,1.8878153361106516,True
56.446247,1.7715747381829174,True
59.347044,1.6849886841175952,True
60.831778,1.6438661993287111,True
65.112544,1.5357982576805778,True
67.07981,1.4907606948378587,True
69.546401,1.4378890609328687,True
72.067157,1.387599559916864,True
75.70469,1.3209289815036707,True
77.14484,1.2962713087656612,True
79.337375,1.2604498196118183,True
82.910381,1.2061329152266995,True
84.735493,1.1801555076043442,True
87.425274,1.1438466619831245,True
88.809111,1.1260248557800203,True
92.491899,1.0811916433893773,True
94.651344,1.05652467970359,True
95.870634,1.0430883061324376,True
98.831194,1.0118421879926562,True
101.317851,0.9870097992642171,True
103.725538,0.9640998674511182,True
105.446623,0.9483646239047046,True
107.168611,0.9331266695508111,True
111.029535,0.9006801104652672,True
111.874659,0.8938753386821366,True
114.32022,0.8747560658410058,True
116.22668,0.8604069932199112,True
118.790782,0.8418321306045672,True
121.370125,0.8239446484470674,True
122.946829,0.8133783951881446,True
124.256818,0.8048042541828381,True
127.516683,0.7842282022476691,True
129.578704,0.7717503879229392,True
131.087688,0.7628668418706633,True
133.497737,0.7490956502402688,True
134.756509,0.742098905450296,True
138.116042,0.7240480217091566,True
139.736208,0.7156529758787554,True
141.123707,0.7086165146429655,True
143.111846,0.6987738942632694,True
146.000982,0.684944794140017,True
147.422765,0.6783398293833937,True
150.05352,0.6664477900576418,True
150.925257,0.6625995544363538,True
153.024693,0.6535116150099183,True
156.112909,0.6405817038379755,True
157.597591,0.6345453137323489,True
158.849988,0.6295436315708075,True
161.188964,0.6204092715688677,True
163.030709,0.6133978278843325,True
165.537069,0.6041141508478507,True
167.184439,0.59815869339139,True
169.094515,0.5914041543482224,True
169.911976,0.588559680363373,True
173.411536,0.576680366331768,True
174.754191,0.5722508119183886,True
176.441434,0.566779934067042,True
178.377407,0.5606305437767519,True
179.916484,0.5558326485619653,True
182.207078,0.5488432343579639,True
184.874467,0.5409266187091201,True
185.598783,0.5388153615978224,True
187.228922,0.5341261481405166,True
189.416158,0.5279582039596326,True
192.026656,0.5207807390665481,True
193.079726,0.5179387647082588,True
195.265396,0.5121420400348452,True
196.876481,0.5079533697822066,True
198.01531,0.505029722059287,True
201.264751,0.4968756410476615,True
202.493594,0.4938617260421315,True
204.189671,0.4897606716880141,True
205.394697,0.4868867603548548,True
207.906258,0.4810058075731135,True
209.576509,0.47717132717324623,True
211.690862,0.4724059007790895,True
213.347919,0.46873756818835527,True
214.547044,0.46611892306160024,True
216.169538,0.46261699606454154,True
219.067596,0.4564980642655776,True
220.714918,0.45309353424590093,True
221.430705,0.4516278899064917,True
224.007,0.44643420931007827,True
224.983324,0.4444949254937261,True
227.421444,0.43973238501212397,True
229.337413,0.43605722550310694,True
231.250188,0.4324509162253583,True
231.987235,0.4310775645658622,True
233.693404,0.427930656551011,True
236.52423,0.4228079073410727,True
17.5783825,3.518157805314241,False
23.016449,2.8911238589378203,False
27.717867,2.509472891058315,False
31.679969,3.5704168623243033,False
35.26062,0.5776805905518295,False
39.2524485,3.0819698561672926,False
42.122896,1.298791707417282,False
45.6661115,3.3908565642192645,False
48.889491,1.5689215776160292,False
51.3720765,3.7173545941051143,False
54.708284,4.665712053223441,False
57.8966455,0.6516605728572022,False
60.089411,2.147894289749549,False
62.972161,5.582517335343223,False
66.096177,0.7888011014216025,False
68.3131055,2.909424014889282,False
70.806779,1.145999216406542,False
73.88592349999999,4.968695428566024,False
76.42476500000001,1.3795421280961908,False
78.2411075,0.25410088158201205,False
81.12387799999999,3.5926024769443847,False
83.822937,0.5774139281099757,False
86.08038350000001,3.0154919950978956,False
88.1171925,1.869717843688349,False
90.65050500000001,3.9547122262195966,False
93.57162149999999,2.1304919595248433,False
95.260989,0.6324338933175548,False
97.35091399999999,1.8947477222302471,False
100.0745225,1.8413945755823125,False
102.5216945,3.082271635931016,False
104.58608050000001,1.9611903415545937,False
106.307617,1.1533163435024743,False
109.099073,4.631444410414122,False
111.452097,1.2062614342657147,False
113.09743950000001,1.1235560550027337,False
115.27345,1.9430690713699936,False
117.508731,3.9345158118887036,False
120.0804535,2.6505923053243223,False
122.158477,1.2308755583522688,False
123.6018235,1.4941259656594295,False
125.8867505,4.196971856988359,False
128.54769349999998,2.6657821311475263,False
130.333196,1.4022053831158723,False
132.2927125,1.935763813956401,False
134.12712299999998,0.37119581470121016,False
136.4362755,5.106648080209064,False
138.926125,1.199766358703418,False
140.4299575,0.5531753541857283,False
142.1177765,2.170635579783309,False
144.55641400000002,3.810134280876016,False
146.7118735,1.4400879977048162,False
148.73814249999998,2.4963985584778725,False
150.4893885,0.5306833116986791,False
151.974975,1.6573273587791861,False
154.568801,4.891260676630558,False
156.85525,0.5021452689010355,False
158.2237895,0.8389455833093857,False
160.019476,1.978669480248297,False
162.1098365,1.64782917095728,False
164.283889,2.921217932187338,False
166.360754,0.8581823066962962,False
168.139477,1.6564314491083332,False
169.5032455,0.5294359188204887,False
171.66175600000003,5.43409175236125,False
174.0828635,1.4634382759168827,False
175.59781249999997,1.7091114028447196,False
177.4094205,2.096763629906091,False
179.14694550000002,0.9801347013392485,False
181.061781,3.5547289450216475,False
183.5407725,3.203276679979428,False
185.236625,0.6537189238047514,False
186.41385250000002,1.4666347382032108,False
188.32254,3.320842447449809,False
190.721407,4.046462659672056,False
192.553191,1.2356064627595569,False
194.172561,1.8216179411157156,False
196.0709385,1.61688944226766,False
197.4458955,0.8584045179883562,False
199.6400305,5.6624445076391625,False
201.87917249999998,0.529154410658429,False
203.3416325,1.4611205064450128,False
204.79218400000002,1.2963321207104261,False
206.65047750000002,3.6777864905178306,False
208.74138349999998,2.127894990002106,False
210.6336855,2.2828648385612267,False
212.5193905,1.5905459142729144,False
213.94748149999998,0.45798792052004217,False
215.358291,1.1732036558742391,False
217.61856699999998,5.723589577417127,False
219.891257,1.8002419868414226,False
221.0728115,0.6451901844994584,False
222.7188525,2.7530429374057364,False
224.495162,1.084855089868063,False
226.202384,3.5435099450835574,False
228.37942850000002,2.300850983553221,False
230.2938005,1.8152917883317516,False
231.61871150000002,0.4665996941788289,False
232.8403195,1.6141892285415145,False
235.108817,5.215535592291315,False
