s_real,s_imag,P,euler_prod_abs,euler_prod_real,euler_prod_imag
1.5,0.0,50,2.4877258867073824,2.4877258867073824,0.0
1.5,0.0,100,2.5303671187571672,2.5303671187571672,0.0
1.5,0.0,200,2.562037648826624,2.562037648826624,0.0
2.0,0.0,50,1.6385679630962098,1.6385679630962098,0.0
2.0,0.0,100,1.6419451966211158,1.6419451966211158,0.0
2.0,0.0,200,1.6437044075945302,1.6437044075945302,0.0
2.5,0.0,50,1.340976423491239,1.340976423491239,0.0
2.5,0.0,100,1.3413138127046171,1.3413138127046171,0.0
2.5,0.0,200,1.3414390345507967,1.3414390345507967,0.0
3.0,0.0,50,1.202007482327819,1.202007482327819,0.0
3.0,0.0,100,1.202044712072426,1.202044712072426,0.0
3.0,0.0,200,1.2020546106459227,1.2020546106459227,0.0
0.5,10.0,200,1.602753637801073,1.478704999507366,-0.6182643026380331
0.5,15.714285714285715,200,1.3932631459578546,0.7903683904911171,1.1473883393153597
0.5,21.42857142857143,200,0.3510041990518833,0.11963037829829368,0.32998866698761226
0.5,27.142857142857142,200,3.1123903961601296,2.830714603380715,1.293842653616339
0.5,32.85714285714286,200,0.14015686028219215,0.13146456069456572,0.04859027439258582
0.5,38.57142857142857,200,1.7232569787685457,1.6078691045250175,0.6199770621469913
0.5,44.285714285714285,200,2.5555142774658486,1.128480753149648,2.2928550787397364
0.5,50.0,200,0.2695725627593865,0.05719799618351541,0.26343453802653505
