T,bv_factor,ratio_7_1_raw,ratio_7_1_bv,eff_rank,trailing_energy
3.5,0.08163265306122448,4.677427350809511e-21,5.745107687209777e-22,1,4.0880012658976737e-22
3.6842105263157894,0.07367346938775511,9.817862634501528e-21,8.680219448350005e-22,1,8.944170412032537e-22
3.8684210526315788,0.06682400851497063,3.424597701651447e-22,7.834409035095311e-24,1,-1.1473278297414825e-21
4.052631578947368,0.06088716478326869,1.6488056937744684e-20,1.3933553398609074e-21,1,1.2246931771995156e-21
4.2368421052631575,0.055707727325334674,1.986339912781485e-21,1.2661077193213365e-22,1,8.472685592463124e-23
4.421052631578947,0.051162131519274394,6.96191439474224e-21,2.1811330661173224e-22,1,1.1634597604323034e-22
4.605263157894736,0.047151020408163276,5.765438983790896e-23,3.71225117357554e-24,1,-2.0771602882099695e-21
4.7894736842105265,0.043593768868494136,4.153980992455001e-22,2.6766836448241625e-23,1,-2.788785246987486e-22
4.973684210526316,0.040424400212759996,1.5452405719447249e-21,1.1399441586701162e-22,1,-8.352218884176687e-23
5.157894736842105,0.03758850478967097,6.186781835980463e-21,4.0372200624519127e-22,1,1.8420902243754123e-22
5.342105263157895,0.03504088912616176,8.57213337226225e-21,4.712827784601775e-22,1,3.6972057479148753e-22
5.526315789473684,0.032743764172335606,5.385528836293616e-21,2.0321935352966599e-22,1,-2.160179232067151e-22
5.7105263157894735,0.030665335853384018,8.71824092026813e-21,2.4441342433132448e-22,1,2.58651065455109e-22
5.894736842105263,0.02877869897959184,8.399872315574506e-22,2.7945341281024196e-23,1,-5.573109269584181e-22
6.078947368421053,0.027060962125897186,1.278957663188855e-22,7.66441441369151e-24,1,-1.2589638323052535e-21
6.2631578947368425,0.025492549961160932,4.5139676330523645e-21,1.6132355890856586e-22,1,7.258263516073419e-23
6.447368421052632,0.02405664306538942,1.0647955171436692e-20,2.4295823963204472e-22,1,1.8558416450933114e-22
6.631578947368421,0.0227387251196775,7.064644130796533e-21,1.7968472776576404e-23,1,-1.0548817908864094e-22
6.815789473684211,0.021526214576407625,3.390697497172525e-22,6.495166315377122e-23,1,2.866478640174058e-23
7.0,0.02040816326530612,4.777738321443464e-22,4.915111044252849e-23,1,-4.919085280434852e-24
