n,mu_n,mu_ratio,lambda_n_eulerian,mu_n_positive,spectral_radius
1,2176.4983276853977,2303.2134058517317,-0.15868519944861548,1,2303.213520923822
2,5012940.126138884,2303.2135209236917,-0.47194269339355654,1,2303.213520923822
3,11545871478.103994,2303.2135209238227,0.2021702477970344,1,2303.213520923822
4,26592607299217.844,2303.2135209238227,0.19535246471136244,1,2303.213520923822
5,6.124845268817608e+16,2303.2135209238218,-0.07114396103847254,1,2303.213520923822
6,1.4106826436707015e+20,2303.2135209238218,-0.04071775831504532,1,2303.213520923822
7,3.249103338634921e+23,2303.213520923823,0.013957293828408752,1,2303.213520923822
8,7.483378740422686e+26,2303.2135209238218,0.0057240420516343786,1,2303.213520923822
9,1.723581909713541e+30,2303.2135209238227,-0.0019189424955748998,1,2303.213520923822
10,3.969777158871931e+33,2303.213520923822,-0.00699138305670216,1,2303.213520923822
11,9.143244427368389e+36,2303.213520923822,0.8729045026085767,1,2303.213520923822
