n_branches,det_rank,is_nondegenerate,spectral_gap,gue_l2_dist,phi_ladder_verified,dim_lower_bound
1,1,1,0.99999999958602,0.8767654459979678,1,1
2,2,1,0.9918398061288851,1.1254388390919592,1,1
3,3,1,0.990390649587043,0.9995426368574972,1,1
4,4,1,0.9901571748395593,1.0323491970661713,1,1
5,5,1,0.9901223551444008,1.0537577080777834,1,1
6,6,1,0.9901172419812259,1.011277242555121,1,1
7,7,1,0.9901164939299536,1.0293083540665797,1,1
8,8,1,0.990116384630007,1.0439948156230505,1,1
9,9,1,0.9901163686507611,1.055563188024928,1,1
