k,gamma_k,F2_raw,C_raw,F2_norm,C_norm,x_curv,x_pss,x_combined
1,14.1347251417346937904572519835624702707842573235707223,69.285750390723384424614548210485418,32.797863576649743393281725554004964,0.98616120440165395059566663332286298,0.36260965351457059900050018287307554,0.1402378190118380670058963495392989406577346451627197516,0.0545581116862597659212084589133584649306050155227970149,0.09860614918037483032973123331747654518156624224287309624
2,21.02203963877155499262847959389690277733434052490278175,61.152703080252237158099018316523827,47.249553791528856836499685871575669,0.87040153252222927522405311242910777,0.52238598678915754601966691688991466,0.1237761250804221503439208845478389543403638681875131397,0.0785979985208382106351901292621098647788834405535695995,0.1018241260920786893207725864315885181273698999320129796
3,25.01085758014568876321379099256282181865954967255799667,33.082506328848944958238629459972638,55.009525498281297584891174017951614,0.47087148658854835211869032347515932,0.6081793996830288344009583695143298,0.06696064499323476924225436218535254720714407150552606241,0.09150644306234886474196133853773891790253026725810005836,0.07888741963871793866914116660982174308563126165037732765
4,30.42487612585951321031189753058409132018156002371544018,46.271145224539204896878602734112734,64.685816877888680281622316188112563,0.65858864263357815324111866546066689,0.71515943685116531896393692947223067,0.09365510877599164651792259402527700657365932181313585515,0.1076026191002680546862365396402183453863252521459266724,0.1004321877707264242844567476716893193713750802517415002
5,32.93506158773918969066236896407490348881271560351703901,37.141895154736049135203424633782712,69.044459817701263913177614368633875,0.52864977073927365786384043096486673,0.76334812458399644666406653958417172,0.0751770507080187139674113281082700263009545666259888886,0.1148530708790882596134616576984007551757201692961900367,0.09445558262120290800861655392516255394126685457977794383
6,37.58617815882567125721776348070533282140559735083079322,64.90802094781566497768958444952892,76.380314588410621881694887324293351,0.92385189959342490291644793606421472,0.84445254623095820479996713375907426,0.1313770759898575306630776874332270128383128790772464803,0.127056011566343403724984058916762174038837345328305721,0.1292774758276319769832845237795766092122673179695493213
7,40.91871901214749518739812691463325439572616596277727954,52.664458847637418493920225328374445,81.130897003513972744086754412862734,0.74958625508804593474674027014963324,0.89697447466410891040519141388985217,0.1065954948395884833014680872182152301478151536626388218,0.1349584411063733838050514272746751266248041237240565876,0.1203770173410526525735355110765540004512797751457618325
8,43.32707328091499951949612216540680578264566837183687145,59.294438579505049133564087201958621,84.406733184530546207194656398865907,0.8439523947439792239215017067352633,0.93319176728723564823790768654189876,0.1200149049267496980631957485887775602569978056717662176,0.1404076812927687572916503464327301787581402099005686715,0.1299237311718122932116943500601464519616158214818094815
9,48.00515088116715972794247274942751676527153256352293679,70.258037003962251085347478387661755,90.449504746381055544149679399867737,1.0,1.0,0.1422057756742989408948529583537427216770176882934647828,0.150459622785711299580256043324006172404154176270485638,0.1462163103564022866187673271279842586676277467460965171
