k,gamma,E_9D,E_macro,E_micro,E_cross,cons_err,E_PSS_sech2,shift,conservation
1,14.134725142,135715.18947244444,13.97213595499958,135701.21733648944,0.0,0.0,0.0026749999997033778,1.0530280091676248e-05,PASS
2,21.022039639,141800.83728055278,33.4893568818739,141767.34792367092,-2.9103830456733704e-11,2.052444189673705e-16,0.002674999999863378,7.146589089185279e-06,PASS
3,25.01085758,145752.0150237303,33.4893568818739,145718.5256668484,0.0,0.0,0.0026749999999018375,6.057762142040924e-06,PASS
4,30.424876126,151732.69759061924,33.4893568818739,151699.20823373736,0.0,0.0,0.0026749999999317268,5.051968156410753e-06,PASS
5,32.935061588,154468.03425088016,81.99593469062214,154386.03831618954,0.0,0.0,0.00267499999994068,4.7090815406605975e-06,PASS
6,37.586178159,159847.2954494808,81.99593469062214,159765.29951479015,2.9103830456733704e-11,1.8207271117659836e-16,0.0026749999999524827,4.214669200562217e-06,PASS
7,40.918719012,163398.7597893362,81.99593469062214,163316.7638546456,0.0,0.0,0.002674999999958922,3.918697117576071e-06,PASS
8,43.327073281,165770.74966723003,81.99593469062214,165688.75373253942,0.0,0.0,0.0026749999999619053,3.7737518837949627e-06,PASS
9,48.005150881,170973.7005123955,81.99593469062214,170891.7045777049,0.0,0.0,0.0026749999999672795,3.497427164913744e-06,PASS
