T,h,sigma,energy,fd_curvature,c_fd,c_lower_bound,cs_lower_bound,d_sigma_slope,d2_analytic,passes_strict,passes_cs,passes_eq2_3
10.0,0.02,0.5,0.85674638,0.00746531,18.66326864,9.76206558,7.5655175,-3.60048045,18.6405754,1,1,1
10.0,0.05,0.5,0.85674638,0.04695722,18.78288896,9.76206558,7.5655175,-3.60048045,18.6405754,1,1,1
10.0,0.1,0.5,0.85674638,0.19216768,19.21676834,9.76206558,7.5655175,-3.60048045,18.6405754,1,1,1
10.0,0.2,0.5,0.85674638,0.84243491,21.06087286,9.76206558,7.5655175,-3.60048045,18.6405754,1,1,1
14.134,0.02,0.5,6.01062659,0.02772216,69.30540002,9.76206558,30.270081,-19.07575183,69.26482429,1,1,1
14.134,0.05,0.5,6.01062659,0.17379704,69.51881565,9.76206558,30.270081,-19.07575183,69.26482429,1,1,1
14.134,0.1,0.5,6.01062659,0.70286429,70.28642922,9.76206558,30.270081,-19.07575183,69.26482429,1,1,1
14.134,0.2,0.5,6.01062659,2.93771946,73.44298661,9.76206558,30.270081,-19.07575183,69.26482429,1,1,1
21.022,0.02,0.5,3.44887362,0.02448261,61.20653381,9.76206558,26.66445148,-13.56188212,61.15232064,1,1,1
21.022,0.05,0.5,3.44887362,0.15372989,61.49195609,9.76206558,26.66445148,-13.56188212,61.15232064,1,1,1
21.022,0.1,0.5,3.44887362,0.62522415,62.52241473,9.76206558,26.66445148,-13.56188212,61.15232064,1,1,1
21.022,0.2,0.5,3.44887362,2.67290299,66.82257464,9.76206558,26.66445148,-13.56188212,61.15232064,1,1,1
50.0,0.02,0.5,4.20024287,0.03457274,86.43185491,9.76206558,35.54946155,-17.28099375,86.33092235,1,1,1
50.0,0.05,0.5,4.20024287,0.21740938,86.96375327,9.76206558,35.54946155,-17.28099375,86.33092235,1,1,1
50.0,0.1,0.5,4.20024287,0.8889111,88.89110972,9.76206558,35.54946155,-17.28099375,86.33092235,1,1,1
50.0,0.2,0.5,4.20024287,3.88199944,97.04998609,9.76206558,35.54946155,-17.28099375,86.33092235,1,1,1
100.0,0.02,0.5,0.60759181,0.00455149,11.378721,9.76206558,5.36048747,-2.55224931,11.37221994,1,1,1
100.0,0.05,0.5,0.60759181,0.02853214,11.41285659,9.76206558,5.36048747,-2.55224931,11.37221994,1,1,1
100.0,0.1,0.5,0.60759181,0.11534832,11.53483155,9.76206558,5.36048747,-2.55224931,11.37221994,1,1,1
100.0,0.2,0.5,0.60759181,0.48093077,12.02326919,9.76206558,5.36048747,-2.55224931,11.37221994,1,1,1
200.0,0.02,0.5,2.10829462,0.00583235,14.58088485,9.76206558,4.18288115,-4.19970137,14.54111594,1,1,1
200.0,0.05,0.5,2.10829462,0.03697836,14.79134289,9.76206558,4.18288115,-4.19970137,14.54111594,1,1,1
200.0,0.1,0.5,2.10829462,0.15566244,15.56624386,9.76206558,4.18288115,-4.19970137,14.54111594,1,1,1
200.0,0.2,0.5,2.10829462,0.76205846,19.05146154,9.76206558,4.18288115,-4.19970137,14.54111594,1,1,1
