sigma,T,E_test,E_mirror,E_half,sym_ok,min_is_half,uniqueness
0.3,10.0,2.15505693,0.40087075,0.85674638,0,0,0
0.3,14.134,11.68229702,3.27667564,6.01062659,0,0,0
0.3,21.022,7.92839853,1.6422517,3.44887362,0,0,0
0.3,50.0,10.30598448,1.97650071,4.20024287,0,0,0
0.3,100.0,1.42584621,0.27026818,0.60759181,0,0,0
0.35,10.0,1.68519351,0.47747993,0.85674638,0,0,0
0.35,14.134,9.83800203,3.79390852,6.01062659,0,0,0
0.35,21.022,6.38319767,1.96082657,3.44887362,0,0,0
0.35,50.0,8.11804499,2.35697725,4.20024287,0,0,0
0.35,100.0,1.1506101,0.32868495,0.60759181,0,0,0
0.4,10.0,1.33127889,0.57438155,0.85674638,0,0,0
0.4,14.134,8.31664877,4.40746871,6.01062659,0,0,0
0.4,21.022,5.16910093,2.35387046,3.44887362,0,0,0
0.4,50.0,6.45609292,2.83330393,4.20024287,0,0,0
0.4,100.0,0.92876296,0.40176897,0.60759181,0,0,0
0.45,10.0,1.06251264,0.69793734,0.85674638,0,0,0
0.45,14.134,7.0571454,5.13790482,6.01062659,0,0,0
0.45,21.022,4.21018817,2.84128896,3.44887362,0,0,0
0.45,50.0,5.18325143,3.4346437,4.20024287,0,0,0
0.45,100.0,0.75049969,0.49321607,0.60759181,0,0,0
0.55,10.0,0.69793734,1.06251264,0.85674638,0,0,0
0.55,14.134,5.13790482,7.0571454,6.01062659,0,0,0
0.55,21.022,2.84128896,4.21018817,3.44887362,0,0,0
0.55,50.0,3.4346437,5.18325143,4.20024287,0,0,0
0.55,100.0,0.49321607,0.75049969,0.60759181,0,0,0
0.6,10.0,0.57438155,1.33127889,0.85674638,0,0,0
0.6,14.134,4.40746871,8.31664877,6.01062659,0,0,0
0.6,21.022,2.35387046,5.16910093,3.44887362,0,0,0
0.6,50.0,2.83330393,6.45609292,4.20024287,0,0,0
0.6,100.0,0.40176897,0.92876296,0.60759181,0,0,0
0.65,10.0,0.47747993,1.68519351,0.85674638,0,0,0
0.65,14.134,3.79390852,9.83800203,6.01062659,0,0,0
0.65,21.022,1.96082657,6.38319767,3.44887362,0,0,0
0.65,50.0,2.35697725,8.11804499,4.20024287,0,0,0
0.65,100.0,0.32868495,1.1506101,0.60759181,0,0,0
0.7,10.0,0.40087075,2.15505693,0.85674638,0,0,0
0.7,14.134,3.27667564,11.68229702,6.01062659,0,0,0
0.7,21.022,1.6422517,7.92839853,3.44887362,0,0,0
0.7,50.0,1.97650071,10.30598448,4.20024287,0,0,0
0.7,100.0,0.27026818,1.42584621,0.60759181,0,0,0
