T,E_9D,E_macro,E_micro,conservation_error,S_T,delta_b
14.134725,3.4428429578e+02,6.5061996828e+00,3.3777809610e+02,0.000000e+00,1.169154,0.225465
21.022040,5.4770111563e+02,9.6714159863e+00,5.3802969964e+02,1.136868e-13,1.304502,0.383499
25.010858,6.4748204791e+02,1.1340031160e+01,6.3614201675e+02,1.136868e-13,1.439586,0.525654
30.424876,7.0260203756e+02,1.2565007543e+01,6.9003703002e+02,0.000000e+00,1.592881,0.671638
32.935062,7.3794128722e+02,1.3433362818e+01,7.2450792440e+02,1.136868e-13,1.721889,0.783992
37.586178,7.4918293512e+02,1.4360608398e+01,7.3482232672e+02,0.000000e+00,1.879747,0.910539
40.918719,7.4918293512e+02,1.4360608398e+01,7.3482232672e+02,0.000000e+00,1.879747,0.910539
43.327073,7.5827411734e+02,1.6491453958e+01,7.4178266338e+02,0.000000e+00,2.215537,1.147656
48.005151,7.6009238823e+02,1.7407655672e+01,7.4268473256e+02,2.273737e-13,2.388625,1.256180
50.000000,7.6076318986e+02,1.7828148818e+01,7.4293504105e+02,1.136868e-13,2.473572,1.306596
75.000000,7.6596107032e+02,2.2862186023e+01,7.4309888430e+02,1.136868e-13,3.671504,1.876371
100.000000,7.6932228163e+02,2.6223395663e+01,7.4309888596e+02,1.136868e-13,4.562693,2.189885
