T,sigma,EQ1_EnergyRoot,EQ2_D2Sigma,EQ3_UBECurv,EQ4_Excess,EQ5_PhiWeight,EQ6_ReD,EQ7_PhiEnergy,EQ8_ModD,EQ9_PhiUBE,EQ10_PhiSech2
1.41347251e+01,2.50000000e-01,3.73219569e+00,1.97547193e+02,4.95931078e-01,7.91765212e+00,6.21254679e-03,-3.72457844e+00,2.25380561e+01,3.73219569e+00,1.83208036e-04,9.82456773e-03
1.41347251e+01,5.00000000e-01,2.45186308e+00,6.92857504e+01,1.73849719e-01,0.00000000e+00,2.77735700e-03,-2.44024740e+00,9.72702585e+00,2.45186308e+00,7.32994886e-05,1.21691118e-02
1.41347251e+01,7.50000000e-01,1.68507816e+00,2.63639079e+01,6.61163301e-02,-3.17214418e+00,1.30220458e-03,-1.67231935e+00,4.59438874e+00,1.68507816e+00,3.05758649e-05,1.33812422e-02
2.10220396e+01,2.50000000e-01,3.14725457e+00,2.24647680e+02,5.65308092e-01,6.45637633e+00,1.73787156e-03,-3.07775016e+00,1.60269686e+01,3.14725457e+00,6.40776858e-05,3.16333140e-03
2.10220396e+01,5.00000000e-01,1.85710393e+00,6.11527031e+01,1.53730864e-01,0.00000000e+00,6.93681018e-04,-1.80768189e+00,5.58033229e+00,1.85710393e+00,2.35715017e-05,3.90771418e-03
2.10220396e+01,7.50000000e-01,1.17587866e+00,1.87239769e+01,4.70261216e-02,-2.06614439e+00,2.87656828e-04,-1.13058684e+00,2.23724044e+00,1.17587866e+00,8.99796210e-06,4.25582667e-03
2.50108576e+01,2.50000000e-01,2.33717661e+00,1.03458143e+02,2.59811149e-01,3.49470803e+00,9.27257192e-04,-2.33651514e+00,8.83833998e+00,2.33717661e+00,3.74256849e-05,1.79208277e-03
2.50108576e+01,5.00000000e-01,1.40274249e+00,3.30825063e+01,8.30657313e-02,0.00000000e+00,3.53044359e-04,-1.39499093e+00,3.18378361e+00,1.40274249e+00,1.32302741e-05,2.20863462e-03
2.50108576e+01,7.50000000e-01,8.80618687e-01,1.09642880e+01,2.75224403e-02,-1.19219721e+00,1.39282323e-04,-8.54243022e-01,1.25476800e+00,8.80618687e-01,4.84863472e-06,2.39466316e-03
3.04248761e+01,2.50000000e-01,2.92698840e+00,1.49440811e+02,3.75575131e-01,5.09967933e+00,4.29700304e-04,-2.59028847e+00,1.38621196e+01,2.92698840e+00,1.91962590e-05,8.90187270e-04
3.04248761e+01,5.00000000e-01,1.86214439e+00,4.62711452e+01,1.16204623e-01,0.00000000e+00,1.54982856e-04,-1.58370789e+00,5.61066513e+00,1.86214439e+00,6.46664348e-06,1.09338974e-03
3.04248761e+01,7.50000000e-01,1.26802535e+00,1.58569599e+01,3.97939210e-02,-1.85969345e+00,5.78525833e-05,-1.02511391e+00,2.60161792e+00,1.26802535e+00,2.25573087e-06,1.17921718e-03
3.29350616e+01,2.50000000e-01,2.64344811e+00,1.17318759e+02,2.94743146e-01,4.10605774e+00,3.08838696e-04,-2.48699843e+00,1.13065269e+01,2.64344811e+00,1.43802501e-05,6.58635606e-04
3.29350616e+01,5.00000000e-01,1.69757479e+00,3.71418952e+01,9.32638151e-02,0.00000000e+00,1.08880149e-04,-1.51504678e+00,4.66278592e+00,1.69757479e+00,4.74626780e-06,8.07714230e-04
3.29350616e+01,7.50000000e-01,1.16881790e+00,1.28198699e+01,3.21710297e-02,-1.51562491e+00,3.97184694e-05,-9.73877164e-01,2.21045331e+00,1.16881790e+00,1.62088458e-06,8.69190982e-04
3.75861782e+01,2.50000000e-01,2.90949870e+00,3.19134217e+02,8.05523036e-01,6.46207387e+00,1.73836719e-04,-2.90371305e+00,1.36969533e+01,2.90949870e+00,8.67285220e-06,3.89442880e-04
3.75861782e+01,5.00000000e-01,1.41531226e+00,6.49080209e+01,1.63606585e-01,0.00000000e+00,5.89151637e-05,-1.41303410e+00,3.24109812e+00,1.41531226e+00,2.76478073e-06,4.76256399e-04
3.75861782e+01,7.50000000e-01,7.19510762e-01,1.49357235e+01,3.76015438e-02,-1.48541306e+00,2.06485695e-05,-7.19447994e-01,8.37649297e-01,7.19510762e-01,9.10200490e-07,5.10602645e-04
4.09187190e+01,2.50000000e-01,2.93305372e+00,2.00781957e+02,5.05668667e-01,5.59125892e+00,1.18237996e-04,-2.87874493e+00,1.39196295e+01,2.93305372e+00,6.16301419e-06,2.73447097e-04
4.09187190e+01,5.00000000e-01,1.73538042e+00,5.26644589e+01,1.32424045e-01,0.00000000e+00,3.90378690e-05,-1.73057403e+00,4.87278251e+00,1.73538042e+00,1.92122186e-06,3.33775728e-04
4.09187190e+01,7.50000000e-01,1.10782730e+00,1.60619633e+01,4.03405131e-02,-1.78426389e+00,1.33182971e-05,-1.10766134e+00,1.98578290e+00,1.10782730e+00,6.17438848e-07,3.57001713e-04
4.33270733e+01,2.50000000e-01,2.93893834e+00,2.66458530e+02,6.71880413e-01,6.05612920e+00,9.05888275e-05,-2.81337803e+00,1.39755397e+01,2.93893834e+00,4.86000146e-06,2.13991926e-04
4.33270733e+01,5.00000000e-01,1.60662048e+00,5.92944386e+01,1.49327472e-01,0.00000000e+00,2.93825609e-05,-1.41474947e+00,4.17651683e+00,1.60662048e+00,1.49266901e-06,2.60869680e-04
4.33270733e+01,7.50000000e-01,9.87400664e-01,1.50188189e+01,3.77786077e-02,-1.60626929e+00,9.83983362e-06,-7.47491785e-01,1.57751853e+00,9.87400664e-01,4.71995219e-07,2.78588642e-04
4.80051509e+01,2.50000000e-01,3.38843620e+00,3.01820898e+02,7.60758287e-01,7.45167595e+00,5.54085330e-05,-2.92408258e+00,1.85774570e+01,3.38843620e+00,3.12412494e-06,1.35822538e-04
4.80051509e+01,5.00000000e-01,2.00744213e+00,7.02580370e+01,1.76864278e-01,0.00000000e+00,1.74118383e-05,-1.57058432e+00,6.52039207e+00,2.00744213e+00,9.34977140e-07,1.65198458e-04
4.80051509e+01,7.50000000e-01,1.34088353e+00,1.93285116e+01,4.85847834e-02,-2.23185527e+00,5.63773706e-06,-9.23498787e-01,2.90917439e+00,1.34088353e+00,2.87311035e-07,1.75947648e-04
